time             68700000 | observedSignal: fde8e0 | desiredSignal: 007c08 | filterOut_out1: 0000b9337 | filterError_signal1: 0021f285 | filterWeights_oldCoeff: 00098948 | stepSize: 00006
time             69400000 | observedSignal: 00886d | desiredSignal: 011092 | filterOut_out1: 7ff72fc22 | filterError_signal1: 000cb07e | filterWeights_oldCoeff: 0009e975 | stepSize: 00006
time             70100000 | observedSignal: ffcff4 | desiredSignal: ffc721 | filterOut_out1: 0005ce7b4 | filterError_signal1: 0002b615 | filterWeights_oldCoeff: 0009c1ac | stepSize: 0000b
time             70800000 | observedSignal: fe36c1 | desiredSignal: fd32e0 | filterOut_out1: 7ffce06fd | filterError_signal1: 00015899 | filterWeights_oldCoeff: 0009c3d6 | stepSize: 0000c
time             71500000 | observedSignal: 02763f | desiredSignal: ffc921 | filterOut_out1: 7ffcc3bec | filterError_signal1: 7fecd342 | filterWeights_oldCoeff: 0009c324 | stepSize: 0000b
time             72200000 | observedSignal: fe9fc0 | desiredSignal: fcb0b4 | filterOut_out1: 000832395 | filterError_signal1: 7ff616cf | filterWeights_oldCoeff: 000a29e5 | stepSize: 0000c
time             72900000 | observedSignal: ff968f | desiredSignal: fcefa5 | filterOut_out1: 7ffbef9c1 | filterError_signal1: 7fe99604 | filterWeights_oldCoeff: 0009e6bb | stepSize: 0000d
time             73600000 | observedSignal: 001bc0 | desiredSignal: fdf7d8 | filterOut_out1: 0000b506e | filterError_signal1: 7fe6c822 | filterWeights_oldCoeff: 000a4343 | stepSize: 0000d
time             74300000 | observedSignal: fde4a8 | desiredSignal: fd38e4 | filterOut_out1: 0001683b2 | filterError_signal1: 7fee5685 | filterWeights_oldCoeff: 000a6505 | stepSize: 0000c
time             75000000 | observedSignal: 0381a6 | desiredSignal: 03363f | filterOut_out1: 7ffaf7c38 | filterError_signal1: 7feecf5d | filterWeights_oldCoeff: 000a5ecb | stepSize: 00009
time             75700000 | observedSignal: fe2221 | desiredSignal: 006162 | filterOut_out1: 000c27232 | filterError_signal1: 000d8ad5 | filterWeights_oldCoeff: 000acb7d | stepSize: 00008
time             76400000 | observedSignal: 011c41 | desiredSignal: 02fc19 | filterOut_out1: 7ff68123e | filterError_signal1: 000c89ed | filterWeights_oldCoeff: 000b3653 | stepSize: 00008
time             77100000 | observedSignal: fffd3a | desiredSignal: 02840d | filterOut_out1: 00038b98d | filterError_signal1: 00145530 | filterWeights_oldCoeff: 000b078a | stepSize: 00008
time             77800000 | observedSignal: fee0ba | desiredSignal: 016466 | filterOut_out1: 000059e70 | filterError_signal1: 0013c681 | filterWeights_oldCoeff: 000b34ae | stepSize: 00008
time             78500000 | observedSignal: 009e13 | desiredSignal: 01ba39 | filterOut_out1: 7ff91e96b | filterError_signal1: 0012049a | filterWeights_oldCoeff: 000b3440 | stepSize: 00009
time             79200000 | observedSignal: ffb93c | desiredSignal: 00448d | filterOut_out1: 000409544 | filterError_signal1: 0009c874 | filterWeights_oldCoeff: 000b0bd1 | stepSize: 0000a
time             79900000 | observedSignal: 001e2f | desiredSignal: ff4f59 | filterOut_out1: 7ffe11db6 | filterError_signal1: 0004128d | filterWeights_oldCoeff: 000b1966 | stepSize: 0000a
time             80600000 | observedSignal: fec286 | desiredSignal: fceeed | filterOut_out1: 7fffd976d | filterError_signal1: 7ffaa152 | filterWeights_oldCoeff: 000b1697 | stepSize: 0000a
time             81300000 | observedSignal: 017303 | desiredSignal: feb52e | filterOut_out1: 7ffdd6b25 | filterError_signal1: 7fe9a0b6 | filterWeights_oldCoeff: 000b1501 | stepSize: 0000a
time             82000000 | observedSignal: fe386d | desiredSignal: fc1082 | filterOut_out1: 0004e2ef5 | filterError_signal1: 7ff0c681 | filterWeights_oldCoeff: 000b5a5f | stepSize: 0000b
time             82700000 | observedSignal: 025292 | desiredSignal: ffde4c | filterOut_out1: 7ffbbc62b | filterError_signal1: 7fe4c7ae | filterWeights_oldCoeff: 000b2335 | stepSize: 0000a
time             83400000 | observedSignal: fec069 | desiredSignal: fe0dd3 | filterOut_out1: 0008e55fb | filterError_signal1: 7ff60d01 | filterWeights_oldCoeff: 000ba874 | stepSize: 00009
time             84100000 | observedSignal: 0276a0 | desiredSignal: 025420 | filterOut_out1: 7ffb64494 | filterError_signal1: 7ff50a4f | filterWeights_oldCoeff: 000b6eae | stepSize: 00008
time             84800000 | observedSignal: 002548 | desiredSignal: 01d523 | filterOut_out1: 000812dd7 | filterError_signal1: 000a8e23 | filterWeights_oldCoeff: 000b8d7f | stepSize: 00009
time             85500000 | observedSignal: fc85b6 | desiredSignal: fef177 | filterOut_out1: 7ffebb381 | filterError_signal1: 000fede0 | filterWeights_oldCoeff: 000bc175 | stepSize: 00009
time             86200000 | observedSignal: 012e9a | desiredSignal: 02a578 | filterOut_out1: 7ff346ca2 | filterError_signal1: 000444ee | filterWeights_oldCoeff: 000bc6ac | stepSize: 0000a
time             86900000 | observedSignal: 0105be | desiredSignal: 03afa3 | filterOut_out1: 0008bca4b | filterError_signal1: 000c6f1c | filterWeights_oldCoeff: 000ba54e | stepSize: 0000a
